PV,MV,BO,TP,MO,TP_O
1,0,1,552,407,550
1,0,0,646,411,550
1,0,0,990,404,550
1,0,0,978,402,550
1,0,0,981,401,550
1,0,1,980,401,550
1,0,1,491,406,550
1,0,1,536,505,550
1,0,1,558,415,550
1,0,1,501,422,550
1,0,1,544,423,550
1,0,1,508,429,550
1,0,1,540,526,550
1,0,1,561,435,550
1,0,1,501,441,550
1,0,1,546,442,550
1,0,1,508,448,550
1,0,1,564,450,550
1,0,1,513,455,550
1,0,1,538,474,550
1,0,1,513,461,550
1,0,0,708,470,550
1,0,0,995,463,550
1,0,0,985,460,550
1,0,0,979,460,550
1,0,1,976,456,550
1,0,1,548,463,550
1,0,1,547,470,550
1,0,1,520,477,550
1,0,1,565,477,550
1,0,1,539,484,550
1,0,1,560,485,550
1,0,1,549,490,550
1,0,1,529,499,550
1,0,1,550,499,550
1,0,1,571,600,550
1,0,1,560,505,550
1,0,1,514,511,550
1,0,1,563,512,550
1,0,1,544,534,550
1,0,1,515,520,550
1,0,0,715,529,550
1,0,0,993,522,550
1,0,0,980,521,550
1,0,0,980,520,550
1,0,1,970,515,550
1,0,1,551,644,550
1,0,1,561,529,550
1,0,1,517,536,550
1,0,1,568,537,550
1,0,1,540,543,550
1,0,1,562,671,550
1,0,1,565,549,550
1,0,1,518,554,550
1,0,1,570,554,550
1,0,1,540,561,550
1,0,1,564,687,550
1,0,1,566,566,550
1,0,1,520,571,550
1,0,1,570,571,550
1,0,1,521,576,550
1,0,0,724,584,550
1,0,0,995,578,550
1,0,0,986,576,550
1,0,0,982,574,550
1,0,1,982,572,550
1,0,1,566,577,550
1,0,1,514,585,550
1,0,1,558,673,550
1,0,1,579,591,550
1,0,1,573,599,550
1,0,1,583,598,550
1,0,1,520,603,550
1,0,1,559,690,550
1,0,1,581,608,550
1,0,1,575,616,550
1,0,1,582,615,550
1,0,1,518,619,550
1,0,1,558,706,550
1,0,1,584,624,550
1,0,1,562,631,550
1,0,0,671,636,550
1,0,0,993,630,550
1,0,0,979,628,550
1,0,0,983,627,550
1,0,1,978,626,550
1,0,1,572,631,550
1,0,1,575,635,550
1,0,1,563,641,550
1,0,1,537,648,550
1,0,1,528,648,550
1,0,1,522,654,550
1,0,1,582,653,550
