V_set,V_tp,I_in,P_in,V_out,P_out,Load,PWM,Duty,Deadtime
0.45,0.240349,0.06400460000000001,0.028802070000000006,1.1398639999999998,0.0012992899384959996,1000,32500,800,250
0.45,0.2404152,0.063969178,0.0287861301,1.1402739999999998,0.0013002247950759996,1000,32500,810,250
0.45,0.2362368,0.065236398,0.0293563791,1.2206160000000001,0.0014899034194560004,1000,32500,820,250
0.45,0.23136220000000002,0.06672179599999999,0.030024808199999996,1.3122820000000002,0.0017220840475240004,1000,32500,830,250
0.45,0.23135139999999996,0.066733874,0.0300302433,1.31208,0.0017215539263999997,1000,32500,840,250
0.45,0.22543360000000004,0.068537294,0.0308417823,1.4156780000000002,0.0020041441996840005,1000,32500,850,250
0.45,0.2419782,0.06350624,0.028577808000000003,1.1322000000000003,0.0012818768400000007,1000,33000,800,250
0.45,0.2379314,0.064738038,0.0291321171,1.213044,0.001471475745936,1000,33000,810,250
0.45,0.2379134,0.06475575,0.029140087500000002,1.212826,0.0014709469062759999,1000,33000,820,250
0.45,0.2330978,0.066204126,0.0297918567,1.304766,0.0017024143147560003,1000,33000,830,250
0.45,0.2330646,0.06622022799999999,0.0297991026,1.304594,0.001701965504836,1000,33000,840,250
0.45,0.22717839999999997,0.067995468,0.0305979606,1.4088920000000003,0.0019849766676640008,1000,33000,850,250
0.45,0.2435632,0.06303364800000001,0.028365141600000005,1.1238499999999998,0.0012630388224999995,1000,33500,800,250
0.45,0.23956840000000001,0.06424934600000001,0.028912205700000006,1.2046860000000001,0.0014512683585960005,1000,33500,810,250
0.45,0.2395524,0.06425498199999999,0.028914741899999995,1.204404,0.001450588995216,1000,33500,820,250
0.45,0.23479139999999998,0.065700936,0.0295654212,1.2965740000000001,0.0016811041374760003,1000,33500,830,250
0.45,0.22893780000000002,0.06745846600000001,0.030356309700000004,1.4013560000000003,0.001963798638736001,1000,33500,840,250
0.45,0.228912,0.06746973599999999,0.030361381199999996,1.400834,0.0019623358955559995,1000,33500,850,250
0.45,0.2451754,0.062540926,0.0281434167,1.115248,0.0012437781015040002,1000,34000,800,250
0.45,0.2411796,0.063751794,0.0286883073,1.195732,0.0014297750158240002,1000,34000,810,250
0.45,0.23647799999999997,0.06518648400000002,0.029333917800000008,1.2876400000000001,0.0016580167696000003,1000,34000,820,250
0.45,0.236408,0.065197754,0.0293389893,1.288158,0.0016593510329639997,1000,34000,830,250
0.45,0.2306864,0.06693032000000002,0.030118644000000007,1.393414,0.0019416025753959997,1000,34000,840,250
0.45,0.23068080000000002,0.06694240200000001,0.030124080900000006,1.392474,0.001938983840676,1000,34000,850,250
0.45,0.24276999999999999,0.06327356799999999,0.028473105599999996,1.1861799999999998,0.0014070229923999996,1000,34500,800,250
0.45,0.2428046,0.063259882,0.0284669469,1.186148,0.0014069470779039998,1000,34500,810,250
0.45,0.2381282,0.06466799,0.0291005955,1.2790300000000001,0.0016359177409000004,1000,34500,820,250
0.45,0.2380938,0.064683288,0.029107479600000003,1.278758,0.0016352220225640001,1000,34500,830,250
0.45,0.23247179999999998,0.06640378799999999,0.029881704599999996,1.384656,0.0019172722383360003,1000,34500,840,250
0.45,0.23242880000000002,0.06641344800000001,0.02988605160000001,1.3842240000000001,0.0019160760821760004,1000,34500,850,250
0.45,0.2427364,0.063276788,0.0284745546,1.1858460000000002,0.0014062307357160003,1000,35000,800,250
0.45,0.24278519999999998,0.06325505199999999,0.028464773399999997,1.186762,0.0014084040446440003,1000,35000,810,250
0.45,0.23811719999999997,0.064661552,0.0290976984,1.278436,0.0016343986060959998,1000,35000,820,250
0.45,0.23810099999999998,0.064677656,0.0291049452,1.2782,0.00163379524,1000,35000,830,250
0.45,0.2324432,0.06640862,0.029883879000000002,1.383632,0.0019144375114239999,1000,35000,840,250
0.45,0.23241259999999997,0.06641184,0.029885328,1.384342,0.0019164027729639999,1000,35000,850,250
0.45,0.24440660000000003,0.06276796200000001,0.028245582900000007,1.177146,0.0013856727053160002,1000,35500,800,250
