V_set,V_tp,I_in,P_in,V_out,P_out,Load,PWM,Duty,Deadtime,ADC_V_out,ADC_VCC
0.35,1.8620933333333332,0.051014880000000005,0.017855208,1.0534466666666666,0.0022194997590222225,500,40000,850,4,1463,1864
0.35,1.8196766666666664,0.05158649666666667,0.018055273833333333,1.037486666666667,0.002152757167022223,500,40000,850,5,1477,1824
0.35,1.8509533333333332,0.05198099333333333,0.018193347666666665,0.9077766666666666,0.0016481169530888887,500,41000,850,0,1261,1851
0.35,2.1443166666666666,0.04746573666666667,0.016613007833333332,1.1370133333333332,0.0025855986403555548,500,41000,850,1,1356,2138
0.35,2.0249966666666666,0.04869619666666666,0.01704366883333333,1.1023766666666666,0.0024304686304222217,500,41000,850,2,1398,2028
0.35,1.9406700000000001,0.04973075,0.017405762499999998,1.0744533333333333,0.0023088999310222217,500,41000,850,3,1428,1940
0.35,1.88113,0.05055865666666667,0.01769552983333333,1.0543866666666666,0.0022234624856888887,500,41000,850,4,1443,1884
0.35,1.8391433333333334,0.05116382,0.017907337,1.0379133333333332,0.002154528175022222,500,41000,850,5,1462,1839
0.35,1.8211566666666668,0.05243722,0.018353026999999997,0.9201600000000001,0.0016933888512000003,500,42000,850,0,1306,1821
0.35,2.0928299999999997,0.04830438333333333,0.016906534166666664,1.1580700000000002,0.0026822522498000006,500,42000,850,1,1420,2089
0.35,1.9695166666666666,0.049502639999999994,0.017325923999999996,1.10705,0.0024511194050000004,500,42000,850,2,1446,1972
0.35,1.8851266666666666,0.05043252333333333,0.017651383166666666,1.0712366666666666,0.002295095992022222,500,42000,850,3,1466,1887
0.35,1.8380133333333333,0.0511182,0.01789137,1.0513333333333332,0.0022106035555555553,500,42000,850,4,1482,1841
0.35,1.8121166666666666,0.05130069,0.0179552415,1.0346366666666666,0.0021409460640222223,500,42000,850,5,1477,1818
0.35,1.8275766666666666,0.05227888333333333,0.018297609166666666,0.9134100000000002,0.0016686356562000007,500,43000,850,0,1294,1827
0.35,2.106663333333333,0.047920620000000004,0.016772217,1.152,0.0026542079999999995,500,43000,850,1,1401,2105
0.35,1.9826866666666667,0.049165836666666664,0.017208042833333333,1.1059933333333332,0.0024464425067555547,500,43000,850,2,1438,1989
0.35,1.8984533333333333,0.050119876666666674,0.017541956833333334,1.0707699999999998,0.002293096785799999,500,43000,850,3,1456,1900
0.35,1.8433333333333335,0.050841783333333335,0.017794624166666665,1.0493566666666667,0.002202298827755556,500,43000,850,4,1474,1848
0.35,1.8170533333333332,0.05106855,0.017873992499999998,1.0326766666666665,0.0021328421957555544,500,43000,850,5,1471,1818
0.35,1.8989533333333333,0.052340603333333326,0.01831921116666666,0.9306966666666666,0.0017323925706888886,500,30000,850,0,1258,1903
0.35,2.1483666666666665,0.04835269,0.016923441499999997,1.11561,0.0024891713441999998,500,30000,850,1,1332,2143
0.35,2.0606299999999997,0.04942078333333333,0.017297274166666664,1.0879566666666667,0.002367299417088889,500,30000,850,2,1354,2061
0.35,1.98827,0.05036274999999999,0.017626962499999996,1.0684233333333333,0.002283056838422222,500,30000,850,3,1383,1993
0.35,1.9319166666666667,0.05119602333333333,0.017918608166666666,1.0504633333333333,0.0022069464293555554,500,30000,850,4,1400,1935
0.35,1.8835833333333334,0.05196892,0.018189122,1.0326833333333332,0.0021328697338888884,500,30000,850,5,1418,1884
0.35,1.8795866666666665,0.05256603333333334,0.018398111666666668,0.9375766666666667,0.0017581000117555558,500,31000,850,0,1283,1881
0.35,2.1247433333333334,0.04865594333333333,0.017029580166666666,1.1296633333333332,0.0025522784933555555,500,31000,850,1,1363,2128
0.35,2.0225133333333334,0.049771003333333334,0.017419851166666667,1.0954133333333331,0.002399860741688888,500,31000,850,2,1393,2031
0.35,1.94388,0.0507398,0.01775893,1.06728,0.0022781731968,500,31000,850,3,1411,1952
0.35,1.8871733333333331,0.05155966333333334,0.018045882166666666,1.0450533333333334,0.0021842729390222225,500,31000,850,4,1427,1891
0.35,1.8383366666666667,0.052301693333333336,0.018305592666666665,1.0269700000000002,0.0021093347618000003,500,31000,850,5,1445,1844
0.35,1.8854133333333334,0.05217019333333334,0.018259567666666667,0.9266166666666668,0.0017172368938888891,500,32000,850,0,1265,1886
0.35,2.1499566666666667,0.04807627333333333,0.016826695666666665,1.1178100000000002,0.002498998392200001,500,32000,850,1,1335,2143
0.35,2.0385666666666666,0.049220850000000003,0.0172272975,1.08668,0.0023617468448000004,500,32000,850,2,1365,2045
0.35,1.9634833333333332,0.050196363333333334,0.017568727166666666,1.0636366666666668,0.002262645917355556,500,32000,850,3,1395,1967
0.35,1.9072966666666666,0.05102427666666667,0.01785849683333333,1.0454133333333333,0.002185778075022222,500,32000,850,4,1411,1912
0.35,1.8636933333333332,0.051778380000000006,0.018122433,1.0295133333333333,0.002119795407022222,500,32000,850,5,1427,1866
0.35,1.8698433333333335,0.05241306333333332,0.018344572166666663,0.9325233333333335,0.001739199534422223,500,33000,850,0,1284,1869
