header,index,a_x,a_y,a_z,g_x,g_y,g_z,timestamp
DATA,434,39,-12,2081,-4,-4,11,31897
DATA,435,37,-15,2081,-5,-3,10,32522
DATA,436,35,-16,2075,-6,-3,11,33147
DATA,437,37,-15,2079,-5,-4,10,33772
DATA,438,37,-15,2083,-5,-4,11,34397
DATA,439,37,-14,2076,-6,-3,11,35022
DATA,440,34,-16,2074,-6,-4,11,35647
DATA,441,36,-14,2080,-5,-4,10,36272
DATA,442,36,-14,2079,-5,-2,10,36897
DATA,443,37,-14,2073,-5,-4,10,37522
DATA,444,38,-16,2078,-3,-5,11,38147
DATA,445,38,-14,2080,-5,-3,10,38772
DATA,446,38,-13,2075,-7,-4,10,39397
DATA,447,35,-14,2075,-5,-5,11,40022
DATA,448,37,-14,2082,-4,-4,10,40647
DATA,449,36,-15,2078,-6,-3,10,41272
DATA,450,37,-13,2071,-6,-4,10,41897
DATA,451,38,-15,2079,-5,-5,9,42522
DATA,452,37,-15,2082,-6,-3,10,43147
DATA,453,35,-16,2075,-5,-4,10,43772
DATA,454,36,-15,2077,-5,-4,10,44397
DATA,455,37,-13,2082,-5,-3,10,45022
DATA,456,35,-13,2080,-4,-4,10,45647
DATA,457,35,-14,2073,-5,-4,10,46272
DATA,458,36,-15,2080,-4,-4,10,46897
DATA,459,40,-13,2080,-4,-2,10,47522
DATA,460,36,-14,2073,-6,-4,10,48147
DATA,461,38,-15,2075,-5,-4,10,48772
DATA,462,36,-15,2084,-5,-4,11,49397
DATA,463,35,-14,2077,-6,-4,10,50022
DATA,464,36,-13,2071,-6,-4,11,50647
DATA,465,37,-17,2079,-5,-4,10,51272
DATA,466,37,-14,2077,-6,-3,10,51897
DATA,467,35,-16,2073,-6,-4,10,52522
DATA,468,38,-14,2077,-4,-4,10,53147
DATA,469,38,-13,2081,-6,-4,11,53772
DATA,470,35,-14,2075,-6,-4,9,54397
DATA,471,36,-15,2075,-5,-4,9,55022
DATA,472,38,-15,2077,-5,-4,10,55647
DATA,473,35,-12,2075,-5,-4,10,56272
DATA,474,36,-13,2067,-6,-4,10,56897
DATA,475,38,-17,2076,-6,-5,10,57522
DATA,476,36,-15,2078,-5,-4,10,58147
DATA,477,35,-16,2073,-6,-4,10,58772
DATA,478,36,-15,2072,-5,-3,11,59397
DATA,479,38,-16,2080,-5,-4,10,60022
DATA,480,37,-14,2077,-5,-4,10,60647
DATA,481,35,-14,2069,-5,-5,11,61272
DATA,482,37,-13,2078,-4,-3,11,61897
DATA,483,38,-15,2077,-5,-4,12,62522
DATA,484,37,-17,2071,-6,-3,11,63147
DATA,485,37,-15,2073,-4,-4,9,63772
DATA,486,37,-15,2078,-5,-3,10,64397
DATA,487,36,-15,2074,-6,-3,10,65022
DATA,488,37,-15,2071,-5,-4,11,111
DATA,489,37,-15,2079,-5,-4,12,736
DATA,490,35,-14,2077,-6,-3,10,1361
DATA,491,38,-14,2071,-5,-4,10,1986
DATA,492,35,-14,2075,-5,-4,10,2611
DATA,493,37,-14,2082,-5,-3,11,3236
DATA,494,36,-14,2075,-5,-4,11,3861
DATA,495,37,-15,2072,-6,-3,11,4486
DATA,496,36,-15,2082,-5,-4,10,5111
DATA,497,38,-14,2079,-6,-3,11,5736
DATA,498,35,-14,2071,-5,-4,9,6361
DATA,499,37,-12,2078,-5,-4,10,6986
DATA,500,39,-14,2082,-6,-4,10,7611
DATA,501,38,-14,2076,-6,-3,11,8236
DATA,502,35,-16,2076,-6,-3,10,8861
DATA,503,37,-14,2081,-5,-4,12,9486
DATA,504,39,-12,2078,-4,-4,10,10111
DATA,505,35,-14,2074,-6,-4,10,10736
DATA,506,38,-16,2081,-5,-4,10,11361
DATA,507,34,-14,2083,-5,-4,10,11986
DATA,508,34,-13,2073,-6,-4,10,12611
DATA,509,35,-18,2074,-5,-4,10,13236
DATA,510,38,-15,2083,-5,-4,11,13861
DATA,511,36,-15,2080,-6,-4,10,14486
DATA,512,36,-14,2074,-6,-3,10,15111
DATA,513,39,-15,2079,-6,-4,9,15736
DATA,514,37,-17,2082,-6,-4,10,16361
DATA,515,33,-14,2075,-6,-3,10,16986
DATA,516,37,-15,2076,-5,-4,11,17611
DATA,517,37,-13,2083,-5,-3,11,18236
DATA,518,36,-14,2078,-7,-3,10,18861
DATA,519,37,-14,2072,-6,-2,12,19486
DATA,520,37,-15,2081,-4,-4,10,20111
DATA,521,36,-16,2080,-6,-4,10,20736
DATA,522,36,-14,2075,-5,-4,12,21361
DATA,523,39,-16,2076,-5,-4,11,21986
DATA,524,37,-14,2082,-6,-3,11,22611
DATA,525,37,-13,2076,-6,-3,11,23236
DATA,526,35,-16,2074,-4,-4,9,23861
DATA,527,35,-15,2081,-3,-4,10,24486
DATA,528,35,-15,2081,-6,-3,10,25111
DATA,529,35,-14,2074,-6,-4,11,25736
DATA,530,37,-13,2077,-5,-4,9,26361
DATA,531,37,-14,2083,-5,-4,10,26986
DATA,532,36,-14,2076,-6,-3,11,27611
DATA,533,34,-14,2076,-5,-4,9,28236
DATA,534,38,-13,2082,-4,-3,10,28861
DATA,535,36,-14,2080,-5,-4,10,29486
DATA,536,36,-14,2072,-5,-4,11,30111
DATA,537,35,-16,2078,-5,-4,10,30736
DATA,538,38,-15,2084,-5,-4,9,31361
DATA,539,35,-14,2073,-7,-3,10,31986
DATA,540,36,-14,2075,-5,-3,12,32611
DATA,541,39,-14,2083,-5,-4,9,33236
DATA,542,37,-16,2076,-6,-4,10,33861
DATA,543,35,-14,2074,-5,-4,10,34486
DATA,544,36,-15,2077,-5,-5,11,35111
DATA,545,38,-15,2080,-5,-4,11,35736
DATA,546,35,-14,2073,-6,-5,10,36361
DATA,547,38,-16,2076,-5,-4,11,36986
DATA,548,35,-15,2082,-4,-3,9,37611
DATA,549,36,-14,2074,-7,-3,9,38236
DATA,550,35,-17,2073,-5,-3,11,38861
DATA,551,37,-16,2080,-4,-4,11,39486
DATA,552,35,-15,2081,-5,-3,10,40111
DATA,553,35,-14,2073,-6,-5,11,40736
DATA,554,34,-14,2074,-5,-4,9,41361
DATA,555,37,-14,2079,-5,-4,12,41986
DATA,556,36,-16,2074,-6,-4,10,42611
